design-number,name
i5591,Mercury Program  
19509,Mercury 3
19510,Mercury 4
19511,Mercury 6
19512,Mercury 7
19513,Mercury 8
19514,Mercury 9
176886,Mercury 50th Anniversary
i4555,Mercury 6 (Souvenir Version)
i5592,Mercury Program  (Back Patch)
170004,Mercury Commemorative (Back Patch)
,
15346,Gemini Program   
15926,Gemini 3
15966,Gemini 4
15905,Gemini 5
15928,Gemini 6
15924,Gemini 7
15904,Gemini 8
15927,Gemini 9
15923,Gemini 10
15963,Gemini 11
15925,Gemini 12
128431,Gemini 5   (Authentic Reproduction) 
129303,Gemini 6   (Authentic Reproduction) 
141255,Gemini 7   (Authentic Reproduction) 
141265,Gemini 8   (Authentic Reproduction) 
142070,Gemini 9   (Authentic Reproduction) 
142951,Gemini 10 (Authentic Reproduction) 
144744,Gemini 11 (Authentic Reproduction) 
144745,Gemini 12 (Authentic Reproduction) 
i5593,Gemini Program  (Back Patch)
,
15704,"Apollo ""A "" Program (Official Size)"
19447,Apollo 1    (Official Size)
16006,Apollo 7    (Official Size)
16007,Apollo 8    (Official Size)
16008,Apollo 9    (Official Size)
16009,Apollo 10  (Official Size)
15087A,Apollo 11  (Official Size)
15347,Apollo 12  (Official Size) 
15935,Apollo 13  (Official Size)
16822,Apollo 14  (Official Size)
17992,Apollo 15  (Official Size)
18906,Apollo 16  (Official Size)
20324,Apollo 17  (Official Size)
15045,1st Lunar Landing  (Official Size)
17001,Apollo 14 Backup   (Official Size)
22892,Apollo-Soyuz Program  (Official Size)
24861,Apollo-Soyuz    (Official Size)
64231,Apollo 11 20th Anniversary
69236,Apollo 11 25th Anniversary
i4869,Apollo 11 30th Anniversary
124398,Apollo 11 35th Anniversary (NASA)
110532,Apollo 11 35th Anniversary
149747,Apollo 11 40th Anniversary
15242,Apollo Moonscape
15222,Apollo 11- Lem 5
15705,"Apollo ""A "" Program (Souvenir Version)"
15333,Apollo 1 (Souvenir Version)
15206,Apollo 7 (Souvenir Version)
15215,Apollo 8 (Souvenir Version)
15213,Apollo 9 (Souvenir Version)
15219,Apollo 10 (Souvenir Version) 
15283,Apollo 11 (Souvenir Version)
15392,Apollo 12 (Souvenir Version)
15954,Apollo 13 (Souvenir Version)
16991,Apollo 14 (Souvenir Version)
18104,Apollo 15 (Souvenir Version)    
18907,Apollo 16 (Souvenir Version)
20325,Apollo 17 (Souvenir Version)
15235,1st Lunar Landing (Souvenir Version)
24862,Apollo/Coho3  (Souvenir Version)
15703,"Apollo ""A "" Program (Back Patch)"
i3840,Apollo Collage (Back Patch)
,
20359,Skylab Program 
20335,Skylab I
20336,Skylab II
20337,Skylab 3
20358,Skylab Program (Souvenir Version)
20422,Skylab I (Souvenir Version)
20423,Skylab II (Souvenir Version)
20424,Skylab 3 (Souvenir Version)
,
31614,Space Shuttle Program
36839,Columbia I   
43378,Columbia II  
46723,Columbia III  
46756,Columbia IV  
48510,Columbia V  
48587,STS-6    
49578,STS-7    
50800,STS-8    
50812,STS-9    
60364,STS-26    
61762,STS-27    
63029,STS-28    
63042,STS-29    
63663,STS-30    
65089,STS-31    
64915,STS-32   
64797,STS-33    
64600,STS-34    
65324,STS-35   
65055,STS-36    
65617,STS-37    
65733,STS-38    
66302,STS-39    
65694,STS-40    
65557,STS-41    
52219,STS-41B    
52882,STS-41C    
52239,STS-41D    
52268,STS-41G    
65958,STS-42    
66519,STS-43    
66991,STS-44    
67442,STS-45    
67975,STS-46    
68132,STS-47    
67044,STS-48    
66838,STS-49    
67542,STS-50  
68600,STS-51    
54003,STS-51A    
55111,STS-51B    
54030,STS-51C    
52295,STS-51D    
55801,STS-51F    
54794,STS-51G    
55502,STS-51I     
56321,STS-51J     
56339,STS-51L    
68339,STS-52    
68319,STS-53   
68065,STS-54    
68210,STS-55    
68754,STS-56    
68661,STS-57    
68910,STS-58    
69361,STS-59    
69225,STS-60 (English) 
138403,STS-60 (Russian) 
69313,STS-61   
56316,STS-61A    
55501,STS-61B    
56334,STS-61C    
69303,STS-62    
69886,STS-63    
69752,STS-64   
69541,STS-65  
69734,STS-66    
69956,STS-67    
69544,STS-68    
70125,STS-69   
70122,STS-70    
70129,STS-71    
70389,STS-72   
70397,STS-73   
70447,STS-74   
70500,STS-75   
70629,STS-76    
70702,STS-77    
70755,STS-78    
70758,STS-79    
70825,STS-80    
70823,STS-81    
71403,STS-82   
71386,STS-83    
71479,STS-84    
71569,STS-85    
71573,STS-86    
MH6736,STS-87    
71788,STS-88     
71776,STS-89   
71785,STS-90    
71893,STS-91    
MH7907,STS-92    
71995,STS-93    
71676,STS-94    
71982,STS-95    
MH7738,STS-96    
MH8058,STS-97    
MH9846A,STS-98    
MH7814,STS-99    
MH9181,STS-100
MH8408,STS-101  
MH9225,STS-102
MH7932,STS-103  
MH9387,STS-104
MH9325,STS-105
MH8477,STS-106
MH9619,STS-107
MH9712,STS-108
M10197,STS-109
M10196,STS-110
100778,STS-111
101236,STS-112
101835,STS-113
111371,STS-114
104355,STS-115
101839,STS-116
125617,STS-117
101842,STS-118 (Anderson)
132360,STS-118 (Official Version)
141618,STS-119
101845,STS-120
115528,STS-121
101848,STS-122
101850,STS-123
136348,STS-124
136756,STS-125
138958,STS-126
143789,STS-127
101857,STS-128
153407,STS-129
157314,STS-130
157184,STS-131
160616,STS-132
160620,STS-133 (Kopra)
174557,STS-133 (Official Version)
160618,STS-134
174710,STS-135
31522,Approach & Landing
i7665,Shuttle 100th Flight Commemorative
i8481,Shuttle Program 20th Anniversary
105349,STS-107 Commemorative
122972,Shuttle Program  25th Anniversary
169183,Shuttle Commemorative 1981-2011
176820,Shuttle Program 30th Anniversary
30817,Space Shuttle Program (Souvenir Version)
46739,Columbia I (Souvenir Version)
46738,Columbia II (Souvenir Version)
46729,Columbia III (Souvenir Version)
49521,STS-6 (Souvenir Version)
49589,STS-7 (Souvenir Version)    
50815,STS-8 (Souvenir Version)  
52224,STS-41B (Souvenir Version)   
52250,STS-41C (Souvenir Version)    
52251,STS-41D (Souvenir Version)   
54023,STS-41G (Souvenir Version)    
67473,STS-49   (Souvenir Version)    
54890,STS-51B (Souvenir Version)    
56304,STS-51F (Souvenir Version)    
56323,STS-51J (Souvenir Version)    
56349,STS-51L (Souvenir Version)  
61749,STS-61A (Souvenir Version)    
107000,STS-107 (Souvenir Version)
30881,Space Shuttle Program (Back Patch)
169185,Shuttle Commemorative 1981-2011  (Back Patch)
i3841,Shuttle Collage (Back Patch)
107655,Columbia Collage  (Back Patch)
,
MH9113,Expedition 1
MH9193,Expedition 2
MH9639,Expedition 3
M10089,Expedition 4
100777,Expedition 5
101837,Expedition 6
105818,Expedition 7
101843,Expedition 8
101846,Expedition 9
101849,Expedition 10
101852,Expedition 11
101855,Expedition 12
125173,Expedition 13
101861,Expedition 14
129504,Expedition 15 (No Name)
128498,Expedition 15 (1st Crew)
130586,Expedition 15 (2nd Crew)
129882,Expedition 16
139543,Expedition 17 (No Name)
135923,Expedition 17 (1st Crew)
